[0623/090513.837:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0623/130307.783:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130308.319:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130312.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130313.343:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130317.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130318.373:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130322.863:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130323.402:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130327.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130328.431:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130332.896:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130333.451:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130337.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130338.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130342.931:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130343.495:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130412.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130550.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130556.596:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0623/130601.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
